"yr" "seas" "gender" "growpattern" "birthseas" "fleet" "age0" "age1" "age2" "age3" "age4" "age5" "age6" "age7" "age8" "age9" "age10" "age11" "age12" "age13" "age14" "age15" "age16" "age17" "age18" "age19" "age20" "age21" "age22" "age23" "age24" "age25"
"28" 28 1 1 1 1 1 0.0311902 0.269108789984545 1.19336217287464 2.72478666676077 4.69746144572802 6.89431881723512 9.08566397843919 11.4971552739934 13.430532314017 15.34030605759 16.7999794319015 18.3666533456824 19.4391125255181 20.0919680712409 21.5654986618178 22.4278739045729 23.0880115896099 NA 23.3304045627008 24.5442211723424 NA NA 23.9156949672246 NA NA 25.1083238293907
"29" 29 1 1 1 1 1 0.0311902 0.274036484655653 1.1858342105125 2.72230093741666 4.70326652957294 6.9155442585929 9.08910618093092 11.2891027649319 13.243121924357 15.5104871364853 16.9728235699597 17.9562414379694 19.3240119651411 20.3243152319543 21.4368795695823 22.0862766154003 22.928502868751 23.2833969656337 23.9848671669654 23.7125698557785 24.6941698352643 23.3545977177184 NA NA NA 26.0369984820498
"30" 30 1 1 1 1 1 0.0311902 0.271272133033925 1.19187209448164 2.71378352377625 4.69746603041297 6.92548259177628 9.14052556397554 11.398511489721 13.5490911736806 15.2747365439218 16.7484045022871 18.3040238357729 19.1833664262671 20.3681650040583 21.1845006926008 22.322877762372 22.6978798803089 23.5403005067008 23.3726657975219 NA 24.6817938019205 24.8870626053438 25.1415304852574 NA NA 25.2054470598194
"31" 31 1 1 1 1 1 0.0311902 0.274845063126093 1.19250346937332 2.72605887115708 4.69961269319766 6.922303136514 9.1750714129653 11.2806562977372 13.3673246769597 15.3376972755157 16.7397766262604 18.3906742555341 19.0412091756369 20.818663216974 21.3065570457781 21.9702290758217 23.8055714380889 23.9506043949895 23.3813888541565 NA NA 24.1592874573908 24.9782811605691 NA NA 25.4926431152431
"32" 32 1 1 1 1 1 0.0311902 0.26071342977579 1.18612327801005 2.73442918887553 4.69733120654191 6.87521440817596 9.0807348935722 11.2273663166205 13.3890155168486 15.2548403387031 17.025381374342 18.4425927123651 18.848319649079 20.6228207076271 21.7413689686234 21.8396146359096 22.7625001030253 23.3357820301567 23.5550861285999 24.3940252783126 23.5758365500178 24.4516892702514 25.1757256079286 NA NA 24.7614189014598
"33" 33 1 1 1 1 1 0.0311902 0.273110265806879 1.18898329861447 2.72708823150387 4.70341664113851 6.90590659940572 9.12811058763638 11.4044121576313 13.3491098219528 15.1246663630157 16.7531034383261 18.2712560469001 19.4155656774449 20.6730341281531 20.9966498675823 21.1257901705484 NA NA NA 23.4510312012418 NA NA NA 23.9390398390604 24.5325191720893 25.1694403382615
"34" 34 1 1 1 1 1 0.0311902 0.271446390713666 1.18274134651179 2.7275160192995 4.68393087088121 6.85371497124676 9.10515928054008 11.2387877261173 13.2370309707475 15.1131943085327 16.6934410588718 18.102289033411 19.2022678563747 20.6178465337521 21.0166728766463 22.9899895208759 22.9619365100349 NA NA NA NA NA 24.736777515664 24.7118099895052 25.6202465054249 24.7330782556279
"35" 35 1 1 1 1 1 0.0311902 0.268994777476345 1.18993026756851 2.72625704493651 4.68821093742295 6.92399510918072 9.11838148668278 11.3545342919076 13.3353282146019 15.3474416696347 17.0542269783017 18.2867520478077 19.2199977882908 20.1240399188512 21.6203829360261 22.3538855807518 22.7903013235986 23.2279297199221 NA 23.6381432738381 24.3388281282118 24.3791624074537 NA NA 25.6205545873733 24.7929103395645
"36" 36 1 1 1 1 1 0.0311902 0.266844825439941 1.18235112578843 2.73097054342548 4.69063158376374 6.90131548717218 9.08778475550423 11.3438263919505 13.3482267261755 15.0984354706473 16.4576890204966 18.3278973885631 19.0177300942327 20.3841144475683 21.7022504191557 22.0294357050932 22.5001329616411 23.1096374938996 24.4909831681057 NA NA NA 24.6817072644783 NA 24.0820106443132 25.0063616858021
"37" 37 1 1 1 1 1 0.0311902 0.274054457082214 1.1820453677942 2.72876997989056 4.71930161139281 6.92090953052112 9.15084649160058 11.3819042383372 13.4546020299661 15.2267501293988 16.7813777625956 18.3097184556566 19.0165023878079 19.7822203684621 21.1186401868567 21.9375949439921 23.3426871480494 23.4000564960217 24.1606422111076 24.028243277885 NA 25.3880231564312 24.5639815612047 NA NA 25.1090212328077
